ibin45N,lat,lon,pp
20281864,0.0,0.0,191.95268336683512
20281865,1.0,1.0,245.41066061332822
20281887,2.0,2.0,165.91225901944563
20281888,3.0,3.0,165.76448151445948
20281889,4.0,4.0,151.81683722510934
20281890,5.0,5.0,166.61914889886975
20281891,6.0,6.0,167.60006249696016
20282080,7.0,7.0,88.73988013714552
20282081,8.0,8.0,85.12808256596327
20282468,9.0,9.0,231.70755381765775
20282469,10.0,10.0,223.58959578571375
20282470,11.0,11.0,232.66370787087362
20283871,12.0,12.0,118.36579596996307
20283872,13.0,13.0,277.01513263583183
20283873,14.0,14.0,305.0943351686001
20283874,15.0,15.0,364.8736472427845
20283875,16.0,16.0,345.43305917084217
20283876,17.0,17.0,345.4439751729369
20283877,18.0,18.0,317.3018428589862
20283878,19.0,19.0,328.7486003700767
20283879,20.0,20.0,274.28695034250336
20283880,21.0,21.0,183.96569124665484
20283881,22.0,22.0,149.1616708064696
20283882,23.0,23.0,112.00114961984059
20283883,24.0,24.0,156.26028916009955
20283884,25.0,25.0,128.53028638813475
20283885,26.0,26.0,177.08780948120057
20283886,27.0,27.0,183.08287773434677
20283887,28.0,28.0,197.6416916774906
20283888,29.0,29.0,169.9454816669895
20283889,30.0,30.0,180.83815725147724
20283890,31.0,31.0,174.75983928889036
20283891,32.0,32.0,168.46490201726556
20283892,33.0,33.0,242.56425001472235
20283893,34.0,34.0,249.56250907480717
20283894,35.0,35.0,236.67684167084008
20283895,36.0,36.0,297.496235229537
20283897,37.0,37.0,285.2071664789464
20283899,38.0,38.0,318.0656754453794
20283900,39.0,39.0,281.7361964621641
20283903,40.0,40.0,261.1002410885426
20283906,41.0,41.0,218.1918513765204
20283916,42.0,42.0,384.4657200500369
20283917,43.0,43.0,332.6973947261067
20283929,44.0,44.0,485.1309893320922
20283930,45.0,45.0,494.8372548881598
20283931,46.0,46.0,503.09056886793223
20283932,47.0,47.0,516.0847328454256
20283933,48.0,48.0,510.5233546493248
20283937,49.0,49.0,401.7610672339797
20283938,50.0,50.0,433.9940683990717
20283948,51.0,51.0,207.33881968903006
20283989,52.0,52.0,254.57945542782545
20283990,53.0,53.0,263.5187694616616
20283991,54.0,54.0,241.55448519438505
20283992,55.0,55.0,248.39658764377236
20283993,56.0,56.0,248.49252891167998
20283994,57.0,57.0,247.5558709204197
20283995,58.0,58.0,241.49020553007722
20283996,59.0,59.0,264.88341756910086
20283997,60.0,60.0,261.07949827983975
20283998,61.0,61.0,259.6759100705385
20283999,62.0,62.0,196.39421099424362
20284005,63.0,63.0,198.93776762485504
20284269,64.0,64.0,43.27500205114484
20284270,65.0,65.0,57.3240991551429
20284271,66.0,66.0,47.3223914206028
20284272,67.0,67.0,62.31936974450946
20284273,68.0,68.0,19.62398013472557
20284274,69.0,69.0,138.0370264351368
20284275,70.0,70.0,39.95590179041028
20284276,71.0,71.0,61.75685151666403
20284277,72.0,72.0,73.31089172139764
20284278,73.0,73.0,91.55926572903991
20284281,74.0,74.0,130.31890480220318
20284282,75.0,75.0,133.38835829496384
20284283,76.0,76.0,143.33146187663078
20284284,77.0,77.0,57.289563465863466
20284285,78.0,78.0,140.38010332733393
20284286,79.0,79.0,148.96704718470573
20284287,80.0,80.0,131.82191275432706
20284289,81.0,81.0,147.90288016945124
20284290,82.0,82.0,144.60177301242948
20284291,83.0,83.0,179.00934537500143
20284292,84.0,84.0,179.1972573697567
